"Job","Salary","Requirements(The dash(-) means or)"
"Pourers and casters metal","$37,300","High School Diploma: Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic - Forging Machine Setters, Operators, and Tenders, Metal and Plastic - Rolling Machine Setters, Operators, and Tenders, Metal and Plastic - Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic - Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic - Machinists - Metal-Refining Furnace Operators and Tenders - Model Makers, Metal and Plastic - Patternmakers, Metal and Plastic - Foundry Mold and Coremakers - Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic - Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic -"
"Power distributors and dispatchers","$81,500","High School Diploma: Nuclear Power Reactor Operators - Power Plant Operators - Biomass Plant Technicians - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Power plant operators","$73,800","High School Diploma: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Biomass Plant Technicians - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Prepress technicians and workers","$40,640","High School Diploma: Graphic and Printing Equipment Operator, General Production - Graphic Communications, General - Graphic Communications, Other - Platemaker/Imager - Prepress/Desktop Publishing and Digital Imaging Design - Printing Management - Printing Press Operator -"
"Pressers textile garment and related materials","$22,270","Some High School: Laundry and Dry-Cleaning Workers - Sewing Machine Operators - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Sewers, Hand - Tailors, Dressmakers, and Custom Sewers - Textile Bleaching and Dyeing Machine Operators and Tenders - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
"Print binding and finishing workers","$33,270","High School Diploma: Prepress Technicians and Workers - Printing Press Operators -"
"Printing press operators","$37,460","High School Diploma: Graphic and Printing Equipment Operator, General Production - Graphic Communications, Other - Printing Management - Printing Press Operator -"
"Production workers all other","$32,380","any: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers -"
"Recycling and reclamation workers","$28,720","High School Diploma: Conveyor Operators and Tenders - Crane and Tower Operators - Dredge Operators - Hoist and Winch Operators - Industrial Truck and Tractor Operators - Cleaners of Vehicles and Equipment - Laborers and Freight, Stock, and Material Movers, Hand - Machine Feeders and Offbearers - Packers and Packagers, Hand - Stockers and Order Fillers - Gas Compressor and Gas Pumping Station Operators - Pump Operators, Except Wellhead Pumpers - Wellhead Pumpers - Refuse and Recyclable Material Collectors -"
"Rolling machine setters operators and tenders metal and plastic","$41,900","High School Diploma: Machine Tool Technology/Machinist - Sheet Metal Technology/Sheetworking -"
"Sawing machine setters operators and tenders wood","$29,960","High School Diploma: Cabinetmaking and Millwork -"
"Separating filtering clarifying precipitating and still machine setters operators and tenders","$41,450","High School Diploma: Chemical Equipment Operators and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Mixing and Blending Machine Setters, Operators, and Tenders - Cutters and Trimmers, Hand - Cutting and Slicing Machine Setters, Operators, and Tenders - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Sewers hand","$25,630","Post-Secondary Certificate: Laundry and Dry-Cleaning Workers - Pressers, Textile, Garment, and Related Materials - Sewing Machine Operators - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Tailors, Dressmakers, and Custom Sewers - Textile Bleaching and Dyeing Machine Operators and Tenders - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
"Sewing machine operators","$25,830","Some High School: Laundry and Dry-Cleaning Workers - Pressers, Textile, Garment, and Related Materials - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Sewers, Hand - Tailors, Dressmakers, and Custom Sewers - Textile Bleaching and Dyeing Machine Operators and Tenders - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
"Shoe and leather workers and repairers","$26,040","High School Diploma: Shoe, Boot and Leather Repair -"
"Shoe machine operators and tenders","$26,530","High School Diploma: Shoe, Boot and Leather Repair -"
"Slaughterers and meat packers","$27,040","High School Diploma: Meat Cutting/Meat Cutter -"
"Stationary engineers and boiler operators","$61,410","High School Diploma: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Biomass Plant Technicians - Hydroelectric Plant Technicians - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Stone cutters and carvers manufacturing","$32,590","High School Diploma: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Structural metal fabricators and fitters","$40,000","High School Diploma: Machine Shop Technology/Assistant - Metal Fabricator -"
"Tailors dressmakers and custom sewers","$30,670","High School Diploma: Laundry and Dry-Cleaning Workers - Pressers, Textile, Garment, and Related Materials - Sewing Machine Operators - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Sewers, Hand - Textile Bleaching and Dyeing Machine Operators and Tenders - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
"Team assemblers","$32,550","High School Diploma: Aircraft Structure, Surfaces, Rigging, and Systems Assemblers - Coil Winders, Tapers, and Finishers - Electrical and Electronic Equipment Assemblers - Electromechanical Equipment Assemblers - Engine and Other Machine Assemblers - Structural Metal Fabricators and Fitters - Fiberglass Laminators and Fabricators - Timing Device Assemblers and Adjusters - Assemblers and Fabricators, All Other -"
"Textile bleaching and dyeing machine operators and tenders","$28,480","High School Diploma: Laundry and Dry-Cleaning Workers - Pressers, Textile, Garment, and Related Materials - Sewing Machine Operators - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Sewers, Hand - Tailors, Dressmakers, and Custom Sewers - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
